iter	Passed	Remaining
675	2018	3953
676	2022	3951
677	2024	3948
678	2027	3944
679	2030	3942
680	2033	3938
681	2036	3935
682	2039	3932
683	2042	3929
684	2045	3925
685	2047	3922
686	2050	3919
687	2053	3916
688	2056	3913
689	2059	3910
690	2062	3907
691	2066	3905
692	2068	3901
693	2071	3898
694	2074	3895
695	2077	3892
696	2080	3888
697	2082	3885
698	2085	3882
699	2088	3879
700	2091	3875
701	2094	3872
702	2097	3869
703	2100	3866
704	2102	3862
705	2106	3860
706	2109	3857
707	2112	3854
708	2115	3851
709	2118	3848
710	2121	3846
711	2124	3844
712	2127	3840
713	2130	3837
714	2133	3833
715	2135	3830
716	2139	3827
717	2141	3824
718	2144	3820
719	2147	3817
720	2150	3814
721	2153	3811
722	2156	3808
723	2159	3805
724	2162	3802
725	2165	3799
726	2168	3796
727	2171	3793
728	2173	3790
729	2176	3786
730	2179	3783
731	2182	3779
732	2184	3776
733	2187	3773
734	2190	3770
735	2194	3768
736	2196	3764
737	2199	3761
738	2202	3759
739	2206	3757
740	2209	3754
741	2212	3750
742	2214	3746
743	2217	3743
744	2220	3740
745	2223	3737
746	2226	3734
747	2229	3731
748	2232	3729
749	2236	3728
750	2240	3725
751	2243	3723
752	2247	3721
753	2251	3719
754	2255	3718
755	2260	3719
756	2263	3717
757	2268	3716
758	2272	3715
759	2275	3712
760	2278	3710
761	2285	3713
762	2289	3711
763	2293	3709
764	2296	3706
765	2298	3703
766	2301	3700
