iter	Passed	Remaining
683	2003	3854
684	2006	3850
685	2008	3847
686	2011	3844
687	2014	3841
688	2017	3837
689	2020	3835
690	2022	3832
691	2025	3829
692	2028	3826
693	2031	3823
694	2034	3819
695	2036	3816
696	2039	3812
697	2042	3809
698	2045	3807
699	2048	3803
700	2050	3800
701	2053	3796
702	2055	3793
703	2058	3789
704	2061	3786
705	2064	3783
706	2066	3779
707	2069	3776
708	2071	3772
709	2074	3769
710	2077	3765
711	2080	3763
712	2082	3759
713	2085	3756
714	2087	3752
715	2090	3748
716	2093	3745
717	2095	3742
718	2098	3739
719	2101	3735
720	2104	3732
721	2107	3730
722	2109	3726
723	2112	3723
724	2115	3719
725	2117	3716
726	2120	3713
727	2123	3710
728	2126	3707
729	2129	3704
730	2131	3700
731	2134	3697
732	2137	3694
733	2139	3690
734	2142	3687
735	2145	3684
736	2148	3681
737	2151	3679
738	2154	3675
739	2156	3672
740	2159	3669
741	2162	3666
742	2165	3663
743	2168	3660
744	2170	3656
745	2173	3653
746	2175	3649
747	2178	3646
748	2181	3643
749	2184	3640
750	2187	3637
751	2189	3634
752	2192	3631
753	2195	3627
754	2198	3624
755	2200	3621
756	2203	3618
757	2206	3616
758	2209	3613
759	2212	3609
760	2215	3606
761	2217	3603
762	2220	3600
763	2223	3597
764	2226	3594
765	2229	3591
766	2231	3587
